Clade,Family,Subfamily,Species,Collection,Specimen number,Muscles dataset,Landmarks dataset,Life style
Supramyomorpha,Muridae,Murinae,Abeomelomys sevia,University of South Bohemia,CBUN MW3200_139,YES,YES,arboreal
Hystricomorpha,Abrocomidae,,Abrocoma cinerea,Natural History Museum (London),NHM 1992.302,YES,YES,terrestrial
Supramyomorpha,Muridae,Deomyinae,Acomys airensis,Muséum National d’Histoire Naturelle (Paris),MNHN 1993-1961,YES,YES,terrestrial
Supramyomorpha,Muridae,Murinae,Aethomys hindei,University of South Bohemia,ETH 1371,NO,YES,terrestrial
Supramyomorpha,Dipodidae,Allactaginae,Allactaga elater,Natural History Museum (London),NHM 1886.10.15.15-16,NO,YES,terrestrial
Supramyomorpha,Cricetidae,Arvicolinae,Alticola stoliczkanus,Natural History Museum (London),NHM 1975.296,YES,YES,NA
Sciuromorpha,Sciuridae,Xerinae,Ammospermophilus leucurus,Burke Museum of Natural History and Culture (Seattle),UWBM 37679,YES,YES,burrower
Supramyomorpha,Muridae,Murinae,Anisomys imitator,University of South Bohemia,CBUN FR2200_020,YES,YES,NA
Supramyomorpha,Anomaluridae,Anomalurinae,Anomalurus derbianus,Royal Museum for Central Africa (Tervuren),RMCA 21804,YES,YES,arboreal/gliding
Supramyomorpha,Muridae,Murinae,Anonymomys mindorensis,Field Museum of Natural History (Chicago),FMNH 222898,YES,NO,arboreal
Sciuromorpha,Aplodontidae,,Aplodontia rufa,Université de Montpellier,UM 806V,YES,YES,burrower
Supramyomorpha,Muridae,Murinae,Apodemus sylvaticus,Muséum d’Histoire Naturelle de Bourges,MB 2018-34-16,YES,YES,terrestrial
Supramyomorpha,Muridae,Murinae,Apomys banahao,Centre de Biologie pour la Gestion des Populations (Montpellier),CBGP P0049,YES,YES,terrestrial
Supramyomorpha,Muridae,Murinae,Apomys banahao,Centre de Biologie pour la Gestion des Populations (Montpellier),CBGP P0066,YES,NO,terrestrial
Supramyomorpha,Muridae,Murinae,Apomys banahao,Centre de Biologie pour la Gestion des Populations (Montpellier),CBGP P0032,YES,NO,terrestrial
Supramyomorpha,Muridae,Murinae,Apomys banahao,Centre de Biologie pour la Gestion des Populations (Montpellier),CBGP P0045,YES,NO,terrestrial
Supramyomorpha,Muridae,Murinae,Apomys banahao,Centre de Biologie pour la Gestion des Populations (Montpellier),CBGP P0064,YES,NO,terrestrial
Supramyomorpha,Muridae,Murinae,Apomys banahao,Centre de Biologie pour la Gestion des Populations (Montpellier),CBGP P0067,YES,NO,terrestrial
Supramyomorpha,Muridae,Murinae,Apomys banahao,Centre de Biologie pour la Gestion des Populations (Montpellier),CBGP P0064,YES,NO,terrestrial
Supramyomorpha,Muridae,Murinae,Apomys datae,Field Museum of Natural History (Chicago),FMNH 188274,YES,NO,terrestrial
Supramyomorpha,Muridae,Murinae,Apomys datae,Field Museum of Natural History (Chicago),FMNH 188272,YES,NO,terrestrial
Supramyomorpha,Muridae,Murinae,Apomys microdon,Field Museum of Natural History (Chicago),FMNH 209408,YES,NO,arboreal
Supramyomorpha,Muridae,Murinae,Apomys musculus,Field Museum of Natural History (Chicago),FMNH 193681,YES,NO,arboreal
Supramyomorpha,Muridae,Murinae,Archboldomys maximus,Field Museum of Natural History (Chicago),FMNH 193524,YES,NO,terrestrial
Supramyomorpha,Muridae,Murinae,Arvicanthis niloticus,Muséum National d’Histoire Naturelle (Paris),MNHN 1993-2520,YES,NO,terrestrial
Supramyomorpha,Muridae,Murinae,Arvicanthis niloticus,Muséum National d’Histoire Naturelle (Paris),MNHN 1993-2522,NO,YES,terrestrial
Supramyomorpha,Cricetidae,Arvicolinae,Arvicola amphibius,Université de Montpellier,QM858,YES,NO,burrower (C)
Supramyomorpha,Cricetidae,Arvicolinae,Arvicola amphibius,Université de Montpellier,QM857,NO,YES,burrower (C)
Hystricomorpha,Hystricidae,,Atherurus africanus,University of South Bohemia,CBUN CSB012,YES,NO,terrestrial
Sciuromorpha,Sciuridae,Xerinae,Atlantoxerus getulus,Natural History Museum (London),NHM 1977.291,YES,YES,terrestrial
Supramyomorpha,Muridae,Murinae,Baiyankamys shawmayeri,University of South Bohemia,CBUN MW3200_209,YES,NO,semiaquatic
Hystricomorpha,Bathyergidae,,Bathyergus suillus,?,BS13,YES,YES,subterranean
Hystricomorpha,Bathyergidae,,Bathyergus suillus,?,BS2,YES,NO,subterranean
Hystricomorpha,Bathyergidae,,Bathyergus suillus,?,BS4,YES,NO,subterranean
Hystricomorpha,Bathyergidae,,Bathyergus suillus,?,BS8,YES,NO,subterranean
Supramyomorpha,Muridae,Murinae,Batomys granti,Field Museum of Natural History (Chicago),FMNH 193696,YES,YES,terrestrial
Supramyomorpha,Muridae,Murinae,Berylmys bowersi,Université de Montpellier,7219,YES,NO,terrestrial
Supramyomorpha,Muridae,Murinae,Berylmys bowersi,Université de Montpellier,7220,YES,NO,terrestrial
Supramyomorpha,Muridae,Murinae,Berylmys bowersi,Université de Montpellier,7221,YES,NO,terrestrial
Supramyomorpha,Nesomyidae,Nesomyinae,Brachyuromys betsileoensis,Field Museum of Natural History (Chicago),FMNH 169221,NO,YES,terrestrial
Supramyomorpha,Muridae,Murinae,Bullimus luzonicus,Field Museum of Natural History (Chicago),FMNH 234993,YES,YES,terrestrial
Sciuromorpha,Sciuridae,Callosciurinae,Callosciurus prevostii,Muséum d’Histoire Naturelle de Bourges,MB 2022.2.5,YES,YES,arboreal
Supramyomorpha,Calomyscidae,,Calomyscus baluchi,National Museum of Natural History (Washington DC),USNM 429373,YES,NO,terrestrial
Supramyomorpha,Calomyscidae,,Calomyscus baluchi,National Museum of Natural History (Washington DC),USNM 429369,YES,YES,terrestrial
Supramyomorpha,Spalacidae,,Cannomys badius,University of South Bohemia,CBUN HDMK 18,YES,NO,subterranean (C)
Supramyomorpha,Spalacidae,,Cannomys badius,University of South Bohemia,CBUN HUAY,NO,YES,subterranean (C)
Hystricomorpha,Capromyidae,Capromyinae,Capromys pilorides,University of South Bohemia,CBUN CBS009,YES,YES,terrestrial
Supramyomorpha,Castoridae,,Castor fiber,Muséum d’Histoire Naturelle de Bourges,MB no number,YES,NO,semiaquatic
Hystricomorpha,Caviidae,Caviinae,Cavia porcellus,Université de Montpellier,UM 572N (ou 499V?),YES,YES,terrestrial
Supramyomorpha,Heteromyidae,Perognathinae,Chaetodipus formosus,Burke Museum of Natural History and Culture (Seattle),UWBM 37577,YES,YES,burrower
Hystricomorpha,Chinchillidae,,Chinchilla chinchilla,Muséum d’Histoire Naturelle de Bourges,MB 2022.2.3,YES,NO,terrestrial
Hystricomorpha,Chinchillidae,,Chinchilla lanigera,Natural History Museum (London),NHM R320,YES,YES,terrestrial
Supramyomorpha,Muridae,Murinae,Chiropodomys gliroides,?,BORN014,YES,NO,arboreal
Supramyomorpha,Muridae,Murinae,Chiropodomys major,?,BORN678,YES,YES,arboreal
Supramyomorpha,Muridae,Murinae,Chiropodomys major,?,EBD BORN678,YES,NO,arboreal
Supramyomorpha,Muridae,Murinae,Chrotomys mindorensis,Field Museum of Natural History (Chicago),FMNH 222085,YES,NO,terrestrial
Supramyomorpha,Muridae,Murinae,Chrotomys mindorensis,Field Museum of Natural History (Chicago),FMNH 222107,YES,YES,terrestrial
Supramyomorpha,Muridae,Murinae,Chrotomys mindorensis,Field Museum of Natural History (Chicago),FMNH 222111,YES,NO,terrestrial
Supramyomorpha,Muridae,Murinae,Coccymys ruemmleri,?,CBUN MW 3700-027,YES,YES,terrestrial
Hystricomorpha,Erethizontidae,,Coendou prehensilis,?,JAGUARS M5167,YES,YES,arboreal
Supramyomorpha,Muridae,Murinae,Crateromys heaneyi,University of South Bohemia,CBUN no number,YES,NO,arboreal
Supramyomorpha,Muridae,Murinae,Colomys goslingi,Field Museum of Natural History (Chicago),FMNH 207491,NO,YES,semiaquatic
Supramyomorpha,Nesomyidae,Cricetomyinae,Cricetomys gambianus,Centre de Biologie pour la Gestion des Populations (Montpellier),KB6336,NO,YES,terrestrial
Supramyomorpha,Nesomyidae,Cricetomyinae,Cricetomys gambianus,Centre de Biologie pour la Gestion des Populations (Montpellier),CBGP CR01,YES,NO,terrestrial
Supramyomorpha,Nesomyidae,Cricetomyinae,Cricetomys gambianus,Centre de Biologie pour la Gestion des Populations (Montpellier),CBGP LG1553,YES,NO,terrestrial
Supramyomorpha,Nesomyidae,Cricetomyinae,Cricetomys gambianus,Centre de Biologie pour la Gestion des Populations (Montpellier),CBGP LG1555,YES,NO,terrestrial
Hystricomorpha,Bathyergidae,,Cryptomys hottentotus,?,CHHB,YES,NO,subterranean (C)
Hystricomorpha,Bathyergidae,,Cryptomys hottentotus,?,CHMR3,YES,NO,subterranean (C)
Hystricomorpha,Bathyergidae,,Cryptomys hottentotus,?,CHPA,YES,NO,subterranean (C)
Hystricomorpha,Bathyergidae,,Cryptomys hottentotus,?,CHPB,YES,YES,subterranean (C)
Hystricomorpha,Ctenodactylidae,,Ctenodactylus vali,Université de Montpellier,N782-2008,NO,YES,terrestrial
Hystricomorpha,Ctenomyidae,,Ctenomys talarum,Natural History Museum (London),NHM 9.12.1.68-70,YES,YES,subterranean
Hystricomorpha,Cuniculidae,,Cuniculus paca,?,JAGUARS M5329,YES,YES,terrestrial
Hystricomorpha,Echimyidae,Dactylomyinae,Dactylomys dactylinus,?,RBM1232,YES,YES,arboreal
Hystricomorpha,Dasyproctidae,,Dasyprocta leporina,?,JAGUARS M5324,YES,YES,terrestrial
Supramyomorpha,Nesomyidae,Dendromurinae,Dendromus mystacalis,Natural History Museum (London),NHMUK 1975.3181,YES,YES,terrestrial
Supramyomorpha,Muridae,Deomyinae,Deomys ferrugineus,Muséum National d’Histoire Naturelle (Paris),MNHN 709?,YES,YES,terrestrial
Supramyomorpha,Cricetidae,Arvicolinae,Dicrostonyx groenlandicus,Natural History Museum (London),NHM 1995.14,YES,YES,burrower
Supramyomorpha,Cricetidae,Arvicolinae,Dinaromys bogdanovi,Muséum National d’Histoire Naturelle (Paris),MNHN HERREL,YES,YES,terrestrial
Supramyomorpha,Heteromyidae,Dipodomyinae,Dipodomys merriami,Burke Museum of Natural History and Culture (Seattle),UWBM 37549,YES,YES,burrower
Supramyomorpha,Heteromyidae,Dipodomyinae,Dipodomys sp.,University of South Bohemia,CBUN 002,YES,YES,burrower
Hystricomorpha,Caviidae,Dolichotinae,Dolichotis patagonum,?,THOIRY 01,YES,YES,terrestrial
Supramyomorpha,Muridae,Murinae,Echiothrix leucura,American Museum of Natural History (New York),AMNH 225046,YES,NO,NA
Supramyomorpha,Muridae,Murinae,Echiothrix leucura,?,kcr2456,YES,NO,NA
Supramyomorpha,Muridae,Murinae,Echiothrix sp.,?,SUISSE,YES,NO,NA
Sciuromorpha,Gliridae,Leithiinae,Eliomys quercinus,?,MC88,YES,YES,arboreal
Sciuromorpha,Gliridae,Leithiinae,Eliomys quercinus,Université de Montpellier,25111971,NO,YES,arboreal
Supramyomorpha,Nesomyidae,Nesomyinae,Eliurus majori,Field Museum of Natural History (Chicago),FMNH 165986,NO,YES,arboreal
Supramyomorpha,Cricetidae,Arvicolinae,Ellobius sp.,University of South Bohemia,CBUN FV15,YES,YES,subterranean (C)
Supramyomorpha,Spalacidae,Myospalacinae,Eospalax fontanierii,Natural History Museum (London),NHM 1909.1.1.286,YES,YES,subterranean
Hystricomorpha,Echimyidae,Eumysopinae,Euryzygomatomys spinosus,Natural History Museum (London),NHM 9.11.19.29-31,YES,YES,burrower
Sciuromorpha,Sciuridae,Callosciurinae,Exilisciurus whiteheadi,Natural History Museum (London),NHM 1895.10.4.40,YES,YES,arboreal
Hystricomorpha,Ctenodactylidae,,Felovia vae,Natural History Museum (London),NHM 1991.99,YES,YES,terrestrial
Hystricomorpha,Bathyergidae,,Fukomys anselli,?,Fans 840. Transp. 9679,YES,YES,subterranean (C)
Hystricomorpha,Bathyergidae,,Fukomys anselli,?,Fans 864. Transp. 8543 right,YES,NO,subterranean (C)
Hystricomorpha,Bathyergidae,,Fukomys anselli,?,Fans 867. Transp. 8346 left,YES,NO,subterranean (C)
Hystricomorpha,Bathyergidae,,Fukomys anselli,?,Fans Transp. 9746,YES,NO,subterranean (C)
Hystricomorpha,Bathyergidae,,Fukomys damarensis,?,FDA,YES,NO,subterranean (C)
Hystricomorpha,Bathyergidae,,Fukomys damarensis,?,FDC,YES,NO,subterranean (C)
Hystricomorpha,Bathyergidae,,Fukomys damarensis,?,FDD,YES,NO,subterranean (C)
Hystricomorpha,Bathyergidae,,Fukomys damarensis,?,FDE,YES,NO,subterranean (C)
Hystricomorpha,Bathyergidae,,Fukomys darlingi,?,"Fdarl 813, Transp. 2345",YES,NO,subterranean (C)
Hystricomorpha,Bathyergidae,,Fukomys darlingi,?,Fdarl 824. Transp. 4396,YES,NO,subterranean (C)
Hystricomorpha,Bathyergidae,,Fukomys darlingi,?,Fdarl 837,YES,NO,subterranean (C)
Hystricomorpha,Bathyergidae,,Fukomys darlingi,?,Fdarl 845. Transp. 8446,YES,NO,subterranean (C)
Hystricomorpha,Bathyergidae,,Fukomys mechowii,?,Fmech 177. Transp. 2351,YES,NO,subterranean (C)
Hystricomorpha,Bathyergidae,,Fukomys mechowii,?,Fmech 586 Transp. 0262,YES,NO,subterranean (C)
Hystricomorpha,Bathyergidae,,Fukomys mechowii,?,Fmech CB_828.,YES,NO,subterranean (C)
Hystricomorpha,Bathyergidae,,Fukomys mechowii,?,Fmech Transp. 4372,YES,NO,subterranean (C)
Hystricomorpha,Bathyergidae,,Fukomys micklemi,?,Fmick 809. Transp. 7571,YES,NO,subterranean (C)
Hystricomorpha,Bathyergidae,,Fukomys micklemi,?,Fmick 828. Transp. 0774,YES,YES,subterranean (C)
Hystricomorpha,Bathyergidae,,Fukomys micklemi,?,Fmick 842. Transp. 7689 right,YES,NO,subterranean (C)
Hystricomorpha,Bathyergidae,,Fukomys micklemi,?,Fmick 882. Transp. 6739 right,YES,NO,subterranean (C)
Sciuromorpha,Sciuridae,Callosciurinae,Funambulus palmarum,Natural History Museum (London),NHM 1971.792,YES,YES,arboreal
Sciuromorpha,Sciuridae,Xerinae,Funisciurus anerythrus,Royal Museum for Central Africa (Tervuren),RMCA 1988.011.M.004,YES,YES,terrestrial
Hystricomorpha,Caviidae,Caviinae,Galea musteloides,University of South Bohemia,CBUN CSB 005,YES,YES,terrestrial
Hystricomorpha,Bathyergidae,,Georychus capensis,?,GC 11,YES,YES,subterranean (C)
Hystricomorpha,Bathyergidae,,Georychus capensis,?,GC14,YES,NO,subterranean (C)
Hystricomorpha,Bathyergidae,,Georychus capensis,?,GC18,YES,NO,subterranean (C)
Hystricomorpha,Bathyergidae,,Georychus capensis,?,GC5,YES,NO,subterranean (C)
Hystricomorpha,Bathyergidae,,Georychus capensis,?,GC8,YES,NO,subterranean (C)
Supramyomorpha,Muridae,Gerbillinae,Gerbilliscus angolae,University of South Bohemia,CBUN ANG0104,YES,NO,terrestrial
Supramyomorpha,Muridae,Gerbillinae,Gerbillus sp.,Muséum National d’Histoire Naturelle (Paris),MNHN HERREL,NO,YES,terrestrial
Sciuromorpha,Gliridae,Glirinae,Glis glis,Université de Montpellier,UM AN01,NO,YES,arboreal
Supramyomorpha,Muridae,Murinae,Golunda ellioti,Natural History Museum (London),NHM 1892.1.9.32,YES,YES,terrestrial
Supramyomorpha,Muridae,Murinae,Grammomys poensis,Muséum National d’Histoire Naturelle (Paris),MNHN 1996-2106,YES,NO,arboreal
Supramyomorpha,Muridae,Murinae,Grammomys poensis,Muséum National d’Histoire Naturelle (Paris),MNHN 1996-2104,NO,YES,arboreal
Sciuromorpha,Gliridae,Graphiurinae,Graphiurus sp.,"Eidgenössische Technische Hochschule Zürich,",ETH0706,YES,YES,arboreal
Supramyomorpha,Nesomyidae,Nesomyinae,Gymnuromys roberti,Field Museum of Natural History (Chicago),FMNH 151896,NO,YES,terrestrial
Supramyomorpha,Muridae,Murinae,Halmaheramys wallacei,?,bisa rat 374,YES,NO,terrestrial
Supramyomorpha,Muridae,Murinae,Hapalomys longicaudatus,American Museum of Natural History (New York),AMNH 242686,YES,YES,subterranean (C)
Hystricomorpha,Bathyergidae,,Heliophobius argenteocinereus,?,Harg M5X205,YES,NO,subterranean (C)
Hystricomorpha,Bathyergidae,,Heliophobius argenteocinereus,?,Harg M5X255,YES,YES,subterranean (C)
Hystricomorpha,Bathyergidae,,Heliophobius argenteocinereus,?,Harg MOX016,YES,NO,subterranean (C)
Hystricomorpha,Bathyergidae,,Heliophobius argenteocinereus,?,MOX027,YES,NO,subterranean (C)
Sciuromorpha,Sciuridae,Xerinae,Heliosciurus gambianus,Natural History Museum (London),NHM 2022.22,YES,YES,arboreal
Hystricomorpha,Heterocephalidae,,Heterocephalus glaber,?,Hglab 599,NO,YES,subterranean (C)
Hystricomorpha,Heterocephalidae,,Heterocephalus glaber,?,Hglab 545.,YES,NO,subterranean (C)
Hystricomorpha,Heterocephalidae,,Heterocephalus glaber,?,Hglab 584. Transp. 8446,YES,YES,subterranean (C)
Hystricomorpha,Heterocephalidae,,Heterocephalus glaber,?,Hglab 868. Transp.,YES,NO,subterranean (C)
Hystricomorpha,Heterocephalidae,,Heterocephalus glaber,?,Hglab Transp. 8531,YES,NO,subterranean (C)
Supramyomorpha,Heteromyidae,Heteromyinae,Heteromys desmarestianus,Natural History Museum (London),NHM 2003.221,YES,YES,burrower
Supramyomorpha,Cricetidae,Sigmodontinae,Holochilus brasiliensis,Muséum National d’Histoire Naturelle (Paris),MNHN CG1994-5,YES,YES,semiaquatic
Supramyomorpha,Muridae,Murinae,Hybomys sp.,Muséum National d’Histoire Naturelle (Paris),MNHN 1997-848,YES,YES,NA
Supramyomorpha,Muridae,Murinae,Hybomys sp.,Muséum National d’Histoire Naturelle (Paris),MNHN 1997-831,NO,YES,NA
Hystricomorpha,Caviidae,Hydrochoerinae,Hydrochoerus hydrochaeris,?,JAGUARS M2916,NO,YES,semiaquatic
Hystricomorpha,Caviidae,Hydrochoerinae,Hydrochoerus hydrochaeris,?,JAGUARS M5306,YES,NO,semiaquatic
Supramyomorpha,Muridae,Murinae,Hydromys chrysogaster,?,pao009,NO,YES,semiaquatic
Supramyomorpha,Muridae,Murinae,Hydromys chrysogaster,?,YS 342,YES,NO,semiaquatic
Supramyomorpha,Muridae,Murinae,Hydromys chrysogaster,?,YS 391,YES,NO,semiaquatic
Supramyomorpha,Muridae,Murinae,Hydromys chrysogaster,?,PAO 024,YES,NO,semiaquatic
Supramyomorpha,Muridae,Murinae,Hydromys chrysogaster,?,PAO 102,YES,NO,semiaquatic
Supramyomorpha,Cricetidae,Sigmodontinae,Hylaeamys megacephalus,?,JAGUARS M3644,NO,YES,terrestrial
Supramyomorpha,Cricetidae,Sigmodontinae,Hylaeamys megacephalus,?,JAGUARS M2983,YES,NO,terrestrial
Supramyomorpha,Muridae,Murinae,Hyorhinomys stuempkei,?,NMVC 37198,YES,YES,NA
Supramyomorpha,Nesomyidae,Nesomyinae,Hypogeomys antimena,University of South Bohemia,CBUN NMP,YES,YES,terrestrial
Hystricomorpha,Hystricidae,,Hystrix pumila,University of South Bohemia,CBUN CSB013,YES,YES,terrestrial
Supramyomorpha,Anomaluridae,Idiurinae,Idiurus macrotis,Royal Museum for Central Africa (Tervuren),RMCA 29335,NO,YES,arboreal/gliding
Supramyomorpha,Anomaluridae,Idiurinae,Idiurus macrotis,Royal Museum for Central Africa (Tervuren),RMCA 38520,YES,NO,arboreal/gliding
Supramyomorpha,Anomaluridae,Idiurinae,Idiurus zenkeri,Natural History Museum (London),NHM 3.2.4.39,NO,YES,arboreal/gliding
Supramyomorpha,Dipodidae,Dipodinae,Jaculus jaculus,Natural History Museum (London),NHM 95.340,YES,YES,terrestrial
Supramyomorpha,Dipodidae,Dipodinae,Jaculus jaculus,Natural History Museum (London),NHM 79.2181,YES,YES,terrestrial
Hystricomorpha,Echimyidae,Dactylomyinae,Kannabateomys amblyonyx,Natural History Museum (London),NHM 9.11.19.28,YES,YES,arboreal
Hystricomorpha,Caviidae,Hydrochoerinae,Kerodon rupestris,University of South Bohemia,CBUN CSB2022-001,YES,YES,terrestrial
Hystricomorpha,Chinchillidae,,Lagostomus maximus,Natural History Museum (London),NHM 1970.25,YES,YES,burrower
Hystricomorpha,Diatomyidae,,Laonastes aenigmamus,Université de Montpellier,UM TK2007-06,YES,YES,terrestrial
Supramyomorpha,Cricetidae,Arvicolinae,Lemmus lemmus,Natural History Museum (London),NHM 2022.23,YES,YES,terrestrial
Supramyomorpha,Cricetidae,Arvicolinae,Lemmus sibiricus,Natural History Museum (London),NHM 1976.587,YES,YES,terrestrial
Supramyomorpha,Muridae,Murinae,Lenothrix canus,?,EBD BOR036,YES,YES,arboreal
Supramyomorpha,Muridae,Murinae,Leopoldamys sabanus,?,EBD BOR031,NO,YES,terrestrial
Supramyomorpha,Muridae,Murinae,Leopoldamys sabanus,?,EBD BOR041,YES,NO,terrestrial
Supramyomorpha,Muridae,Murinae,Leptomys sp.,University of South Bohemia,CBUN FR 2200-033,YES,YES,NA
Supramyomorpha,Muridae,Lophiomyinae,Lophiomys imhausi,Natural History Museum (London),NHM unreg,YES,YES,terrestrial
